Artist,Album,Track,Time,day,genre
Green Day,American Idiot (Deluxe),Extraordinary Girl / Letterbomb,9/1/21 20:17,Wednesday,rock
Green Day,American Idiot (Deluxe),Give Me Novacaine / She's a Rebel,9/1/21 20:12,Wednesday,rock
Green Day,American Idiot (Deluxe),Holiday / Boulevard of Broken Dreams,9/1/21 19:22,Wednesday,rock
Green Day,American Idiot (Deluxe),Jesus of Suburbia,9/1/21 15:41,Wednesday,rock
Green Day,American Idiot (Deluxe),American Idiot,9/1/21 15:38,Wednesday,rock
Jawbreaker,Dear You,Bad Scene Everyone's Fault,8/31/21 22:17,Tuesday,punk
Jawbreaker,Dear You,Jet Black,8/31/21 22:12,Tuesday,punk
Jawbreaker,Dear You,Lurker II: Dark Son Of Night,8/31/21 22:08,Tuesday,punk
Jawbreaker,Dear You,Million,8/31/21 22:04,Tuesday,punk
Jawbreaker,Dear You,Oyster,8/31/21 22:01,Tuesday,punk
Jawbreaker,Dear You,Chemistry,8/31/21 21:57,Tuesday,punk
Dillinger Four,Midwestern Songs of the Americas,Doublewhiskeycokenoice,8/30/21 22:57,Monday,rock
Dillinger Four,Midwestern Songs of the Americas,Portrait Of The Artist As A Fucking Asshole,8/30/21 22:54,Monday,rock
Dillinger Four,Midwestern Songs of the Americas,O.K. F.M. D.O.A.,8/30/21 22:50,Monday,rock
The Dopamines,Expect The Worst,June 4th,8/30/21 20:58,Monday,punk
The Dopamines,Expect The Worst,October 24th,8/30/21 20:55,Monday,punk
The Dopamines,Expect The Worst,Straight Papers,8/30/21 20:54,Monday,punk
The Dopamines,Expect The Worst,Cincinnati Harmony,8/30/21 20:51,Monday,punk
The Dopamines,Expect The Worst,Night Vision,8/30/21 20:49,Monday,punk
The Dopamines,Expect The Worst,You'd Make A Good Horsecop,8/30/21 20:47,Monday,punk
The Dopamines,Vices,Paid in Full,8/30/21 20:44,Monday,punk
The Dopamines,Vices,Don't Mosh the Organ,8/30/21 20:42,Monday,punk
The Dopamines,Vices,You're Ruining My Life,8/30/21 20:39,Monday,punk
The Dopamines,Vices,Heads Up Dusters!,8/30/21 20:37,Monday,punk
The Dopamines,Vices,Useless,8/30/21 20:35,Monday,punk
The Dopamines,Vices,You're So Vain Pt. 2,8/30/21 20:33,Monday,punk
Toys That Kill,Joyce Manor / Toys That Kill Split - EP,TImes We Can't Let Go,8/30/21 12:56,Monday,punk
The Ergs!,Jersey's Best Prancers,Kind of Like Smitten,8/30/21 12:55,Monday,rock
The Copyrights,Report,Heart of Glue,8/30/21 12:53,Monday,punk
The Dopamines,Tales of Interest,Business Papers,8/30/21 12:50,Monday,punk
The Dopamines,The Dopamines,Navigation Point,8/30/21 12:47,Monday,punk
The Dopamines,The Dopamines,Freedumb Like a Credit Card,8/30/21 12:44,Monday,punk
The Dopamines,The Dopamines,Dan Teets Runs a Marathon,8/30/21 12:42,Monday,punk
The Dopamines,The Dopamines,Mark Ruffalo Is Soooo Dreamy and I'm a Nightmare,8/30/21 12:35,Monday,punk
The Dopamines,The Dopamines,A Confession of Obsession With Repression Regression and Depression,8/30/21 12:33,Monday,punk
The Dopamines,The Dopamines,Easy Living,8/30/21 12:32,Monday,punk
The Dopamines,The Dopamines,Cupidity,8/30/21 12:27,Monday,punk
The Dopamines,The Dopamines,Beer Telescope,8/30/21 12:25,Monday,punk
The Dopamines,The Dopamines,The $50000 Cigarette,8/30/21 12:24,Monday,punk
The Dopamines,The Dopamines,Fun Tags,8/30/21 12:22,Monday,punk
The Dopamines,The Dopamines,She's My Rushmore,8/30/21 12:21,Monday,punk
The Dopamines,The Dopamines,The Dispatch,8/30/21 12:19,Monday,punk
The Dopamines,The Dopamines,Molly,8/30/21 12:17,Monday,punk
The Dopamines,The Dopamines,The Satisfaction of Physical Retraction from a Chemical Reaction Attraction,8/30/21 12:16,Monday,punk
The Dopamines,Tales of Interest,Ire,8/30/21 0:13,Monday,punk
The Dopamines,Tales of Interest,The King of Swilling Powers Pt. I II III,8/30/21 0:09,Monday,punk
The Dopamines,Vices,Useless,8/30/21 0:07,Monday,punk
The Dopamines,Expect The Worst,It Really Couldn't Be Any Other,8/30/21 0:05,Monday,punk
The Dopamines,Expect The Worst,Basement,8/30/21 0:03,Monday,punk
The Dopamines,Expect The Worst,Thankyouverymuch,8/30/21 0:01,Monday,punk
The Dopamines,Expect The Worst,Glendora,8/30/21 0:00,Monday,punk
The Dopamines,Expect The Worst,Monroe,8/29/21 23:59,Sunday,punk
The Dopamines,Expect The Worst,Dick Simmons,8/29/21 23:57,Sunday,punk
The Dopamines,Expect The Worst,June 4th,8/29/21 23:54,Sunday,punk
The Dopamines,Expect The Worst,October 24th,8/29/21 23:52,Sunday,punk
The Dopamines,Expect The Worst,Straight Papers,8/29/21 23:50,Sunday,punk
The Dopamines,Expect The Worst,Cincinnati Harmony,8/29/21 23:48,Sunday,punk
The Dopamines,Expect The Worst,Night Vision,8/29/21 23:46,Sunday,punk
The Dopamines,Expect The Worst,Public Domain,8/29/21 23:43,Sunday,punk
The Dopamines,Expect The Worst,You'd Make A Good Horsecop,8/29/21 23:42,Sunday,punk
The Dopamines,Vices,10 Stories,8/29/21 23:39,Sunday,punk
The Dopamines,Vices,Vices,8/29/21 23:36,Sunday,punk
The Dopamines,Vices,More Chords Better Value,8/29/21 23:35,Sunday,punk
The Dopamines,Vices,Kitchen Cleaners,8/29/21 23:34,Sunday,punk
The Dopamines,Vices,Paid in Full,8/29/21 23:32,Sunday,punk
The Dopamines,Vices,Don't Mosh the Organ,8/29/21 23:29,Sunday,punk
The Dopamines,Vices,You're Ruining My Life,8/29/21 23:27,Sunday,punk
The Dopamines,Vices,Heads Up Dusters!,8/29/21 23:24,Sunday,punk
The Dopamines,Vices,Useless,8/29/21 23:22,Sunday,punk
The Dopamines,Vices,You're So Vain Pt. 2,8/29/21 23:20,Sunday,punk
Lou Reed,Transformer,Satellite of Love,8/29/21 20:33,Sunday,punk
Latterman,No Matter Where We Go..!,I Wish Branca Was Here,8/29/21 2:13,Sunday,punk
Latterman,No Matter Where We Go..!,We're Done For!,8/28/21 23:30,Saturday,punk
Latterman,No Matter Where We Go..!,Zombies Are Pissed,8/28/21 23:27,Saturday,punk
Latterman,No Matter Where We Go..!,Video Games And Fantasy Novels Are Fucking Awesome!,8/28/21 23:24,Saturday,punk
Latterman,No Matter Where We Go..!,Fear And Loathing On Long Island,8/28/21 23:22,Saturday,punk
Latterman,No Matter Where We Go..!,An Ode to Jon Contra part 2,8/28/21 23:19,Saturday,punk
Latterman,No Matter Where We Go..!,Dear Boys,8/28/21 23:18,Saturday,punk
Latterman,No Matter Where We Go..!,This Project Is Stagnant (Get It Out Of My Face),8/28/21 23:16,Saturday,punk
Latterman,No Matter Where We Go..!,Yo Get Into It,8/28/21 23:12,Saturday,punk
Latterman,No Matter Where We Go..!,Doom! Doom! Doom!,8/28/21 23:09,Saturday,punk
Latterman,No Matter Where We Go..!,My Bedroom Is Like for Artists Part 2,8/28/21 23:09,Saturday,punk
4 Non Blondes,Bigger Better Faster More !,What's Up?,8/28/21 22:52,Saturday,electronic
Tom Petty and The Heartbreakers,She's the One (Songs and Music from the Motion Picture),walls - circus,8/28/21 20:29,Saturday,rock
The Lawrence Arms,The Greatest Story Ever Told,The Disaster March,8/28/21 20:05,Saturday,rock
The Lawrence Arms,The Greatest Story Ever Told,A Wishful Puppeteer,8/28/21 20:02,Saturday,rock
The Lawrence Arms,The Greatest Story Ever Told,The Ramblin' Boys of Pleasure,8/28/21 19:59,Saturday,rock
